Cluster Huawei

|    node    |     user      |             job name              |   job id   |   queue    |  left walltime  |
|------------+---------------+-----------------------------------+------------+------------+-----------------|
|  node-001  |    marshel    |          opt_all_1@CR17           |   101705   |    long    |    13d 05:23    |
|  node-001  |  eroginskij   |           abinit_11645            |   101420   |    long    |    11d 01:20    |
|  node-001  |   kuznetsov   |           abinit_27231            |   101317   |    long    |    10d 15:55    |
|  node-001  | vvpavlovskiy  |                G16                |   101182   |    long    |    10d 08:12    |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-002  |    marshel    |          opt_all_1@CR17           |   101705   |    long    |    13d 05:23    |
|  node-002  |   egracheva   |            7GREEN@G16             |   101259   |    long    |    13d 01:59    |
|  node-002  |    andrej     |                G16                |   101612   |    long    |    12d 12:39    |
|  node-002  |  eroginskij   |           abinit_11645            |   101420   |    long    |    11d 01:20    |
|  node-002  |   mdsapova    |              Crystal              |   101209   |    long    |    10d 06:42    |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-003  |    marshel    |          opt_all_1@CR17           |   101705   |    long    |    13d 05:23    |
|  node-003  |   ivkazakov   |    acnAlC6F53_dcm_opt_popl@G16    |   101390   |    long    |    11d 07:57    |
|  node-003  |  eroginskij   |           abinit_11645            |   101420   |    long    |    11d 01:20    |
|  node-003  |   mdsapova    |              Crystal              |   101208   |    long    |    9d 16:54     |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-004  |   kuznetsov   |           abinit_15155            |   101768   |    long    |    13d 19:52    |
|  node-004  |    andrej     |                G16                |   101760   |    long    |    13d 17:51    |
|  node-004  |  avkovalenko  | mosse2_NT_66_pho_HSE06GRM_in@CR17 |   101293   |    long    |    11d 12:10    |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-005  |  akhlebnikov  |                G16                |   101770   |    long    |    13d 20:00    |
|  node-005  |  eroginskij   |           abinit_11645            |   101420   |    long    |    11d 01:20    |
|  node-005  |   mdsapova    |              Crystal              |   101209   |    long    |    10d 06:42    |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-006  |    marshel    |          opt_all_1@CR17           |   101705   |    long    |    13d 05:23    |
|  node-006  |  akhlebnikov  |                G16                |   101039   |    long    |    12d 08:25    |
|  node-006  |   egracheva   |            8GREEN@G16             |   101492   |    long    |    11d 20:05    |
|  node-006  |  avkovalenko  | mosse2_NT_66_pho_HSE06GRM_in@CR17 |   101293   |    long    |    11d 12:10    |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-007  |   egracheva   |            7GREEN@G16             |   101259   |    long    |    13d 01:59    |
|  node-007  |  avkovalenko  | mosse2_NT_66_pho_HSE06GRM_in@CR17 |   101293   |    long    |    11d 12:10    |
|  node-007  |   kuznetsov   |            abinit_2272            |   101455   |    long    |    11d 07:07    |
|  node-007  |   mdsapova    |              Crystal              |   101209   |    long    |    10d 06:42    |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-008  |  akhlebnikov  |                G16                |   101771   |    long    |    13d 20:01    |
|  node-008  |  avkovalenko  | mosse2_NT_66_pho_HSE06GRM_in@CR17 |   101293   |    long    |    11d 12:10    |
